Epoch 1, Loss 1.707868, Accuracy 0.408980
Epoch 2, Loss 1.353400, Accuracy 0.525240
Epoch 3, Loss 1.253766, Accuracy 0.562240
Epoch 4, Loss 1.190015, Accuracy 0.585980
Epoch 5, Loss 1.143121, Accuracy 0.603240
Epoch 6, Loss 1.106065, Accuracy 0.617720
Epoch 7, Loss 1.072403, Accuracy 0.629480
Epoch 8, Loss 1.044415, Accuracy 0.640240
Epoch 9, Loss 1.017195, Accuracy 0.648540
Epoch 10, Loss 0.995747, Accuracy 0.657360
Epoch 11, Loss 0.975646, Accuracy 0.664860
Epoch 12, Loss 0.956508, Accuracy 0.671280
Epoch 13, Loss 0.940444, Accuracy 0.677280
Epoch 14, Loss 0.925295, Accuracy 0.682380
Epoch 15, Loss 0.910638, Accuracy 0.688140
Epoch 16, Loss 0.897507, Accuracy 0.693540
Epoch 17, Loss 0.886272, Accuracy 0.699160
Epoch 18, Loss 0.873840, Accuracy 0.700840
Epoch 19, Loss 0.862953, Accuracy 0.704100
Epoch 20, Loss 0.852575, Accuracy 0.709980
Epoch 21, Loss 0.843411, Accuracy 0.714120
Epoch 22, Loss 0.834011, Accuracy 0.716220
Epoch 23, Loss 0.826467, Accuracy 0.718720
Epoch 24, Loss 0.817256, Accuracy 0.721760
Epoch 25, Loss 0.808251, Accuracy 0.726040
Epoch 26, Loss 0.799035, Accuracy 0.728580
Epoch 27, Loss 0.793887, Accuracy 0.730660
Epoch 28, Loss 0.785673, Accuracy 0.733680
Epoch 29, Loss 0.779152, Accuracy 0.736060
Epoch 30, Loss 0.772734, Accuracy 0.737680
