Epoch 1, Loss 2.709965, Accuracy 0.379160
Epoch 2, Loss 1.307181, Accuracy 0.531700
Epoch 3, Loss 1.123963, Accuracy 0.604380
Epoch 4, Loss 0.984102, Accuracy 0.655680
Epoch 5, Loss 0.886271, Accuracy 0.691660
Epoch 6, Loss 0.808024, Accuracy 0.720420
Epoch 7, Loss 0.754317, Accuracy 0.738620
Epoch 8, Loss 0.692849, Accuracy 0.761320
Epoch 9, Loss 0.644511, Accuracy 0.776540
Epoch 10, Loss 0.596543, Accuracy 0.791960
Epoch 11, Loss 0.560777, Accuracy 0.803920
Epoch 12, Loss 0.519348, Accuracy 0.818980
Epoch 13, Loss 0.489070, Accuracy 0.828540
Epoch 14, Loss 0.455236, Accuracy 0.839720
Epoch 15, Loss 0.421995, Accuracy 0.852620
Epoch 16, Loss 0.403490, Accuracy 0.857040
Epoch 17, Loss 0.378712, Accuracy 0.865620
Epoch 18, Loss 0.346581, Accuracy 0.875620
Epoch 19, Loss 0.335526, Accuracy 0.879060
Epoch 20, Loss 0.306973, Accuracy 0.888900
Epoch 21, Loss 0.300127, Accuracy 0.892740
Epoch 22, Loss 0.267745, Accuracy 0.904060
Epoch 23, Loss 0.266275, Accuracy 0.904720
Epoch 24, Loss 0.252828, Accuracy 0.908780
Epoch 25, Loss 0.238784, Accuracy 0.914060
Epoch 26, Loss 0.208872, Accuracy 0.925140
Epoch 27, Loss 0.214239, Accuracy 0.920900
Epoch 28, Loss 0.219931, Accuracy 0.920600
Epoch 29, Loss 0.188945, Accuracy 0.933080
Epoch 30, Loss 0.181487, Accuracy 0.933300
