Epoch 1, Loss 1.903678, Accuracy 0.422840
Epoch 2, Loss 1.155349, Accuracy 0.592940
Epoch 3, Loss 0.945032, Accuracy 0.669760
Epoch 4, Loss 0.841325, Accuracy 0.706880
Epoch 5, Loss 0.760399, Accuracy 0.737300
Epoch 6, Loss 0.695912, Accuracy 0.760660
Epoch 7, Loss 0.631314, Accuracy 0.779880
Epoch 8, Loss 0.580198, Accuracy 0.798860
Epoch 9, Loss 0.536719, Accuracy 0.814000
Epoch 10, Loss 0.493996, Accuracy 0.828720
Epoch 11, Loss 0.460100, Accuracy 0.837300
Epoch 12, Loss 0.423283, Accuracy 0.851240
Epoch 13, Loss 0.388552, Accuracy 0.862900
Epoch 14, Loss 0.358356, Accuracy 0.873600
Epoch 15, Loss 0.328664, Accuracy 0.883360
Epoch 16, Loss 0.308047, Accuracy 0.890420
Epoch 17, Loss 0.284600, Accuracy 0.898040
Epoch 18, Loss 0.263478, Accuracy 0.907220
Epoch 19, Loss 0.232911, Accuracy 0.916520
Epoch 20, Loss 0.231683, Accuracy 0.915980
Epoch 21, Loss 0.219075, Accuracy 0.920560
Epoch 22, Loss 0.198500, Accuracy 0.926980
Epoch 23, Loss 0.183818, Accuracy 0.933000
Epoch 24, Loss 0.164391, Accuracy 0.939860
Epoch 25, Loss 0.171886, Accuracy 0.937260
Epoch 26, Loss 0.155708, Accuracy 0.944100
Epoch 27, Loss 0.152653, Accuracy 0.945100
Epoch 28, Loss 0.141272, Accuracy 0.948760
Epoch 29, Loss 0.136215, Accuracy 0.950400
Epoch 30, Loss 0.150321, Accuracy 0.946960
