Epoch 1, Loss 2.459768, Accuracy 0.395400
Epoch 2, Loss 1.727704, Accuracy 0.398820
Epoch 3, Loss 1.230918, Accuracy 0.565880
Epoch 4, Loss 1.083577, Accuracy 0.620820
Epoch 5, Loss 0.982300, Accuracy 0.655920
Epoch 6, Loss 0.904960, Accuracy 0.688680
Epoch 7, Loss 0.846870, Accuracy 0.706120
Epoch 8, Loss 0.798093, Accuracy 0.724500
Epoch 9, Loss 0.755485, Accuracy 0.737520
Epoch 10, Loss 0.721625, Accuracy 0.749540
Epoch 11, Loss 0.688507, Accuracy 0.759000
Epoch 12, Loss 0.655874, Accuracy 0.770740
Epoch 13, Loss 0.620134, Accuracy 0.784220
Epoch 14, Loss 0.598425, Accuracy 0.789760
Epoch 15, Loss 0.570219, Accuracy 0.800280
Epoch 16, Loss 0.546094, Accuracy 0.808320
Epoch 17, Loss 0.519801, Accuracy 0.816360
Epoch 18, Loss 0.491269, Accuracy 0.827060
Epoch 19, Loss 0.461099, Accuracy 0.837460
Epoch 20, Loss 0.441879, Accuracy 0.843840
Epoch 21, Loss 0.415056, Accuracy 0.851340
Epoch 22, Loss 0.392231, Accuracy 0.861960
Epoch 23, Loss 0.372908, Accuracy 0.866960
Epoch 24, Loss 0.344368, Accuracy 0.876560
Epoch 25, Loss 0.330933, Accuracy 0.881620
Epoch 26, Loss 0.304993, Accuracy 0.891480
Epoch 27, Loss 0.292034, Accuracy 0.894220
Epoch 28, Loss 0.276938, Accuracy 0.900140
Epoch 29, Loss 0.253479, Accuracy 0.907620
Epoch 30, Loss 0.247250, Accuracy 0.910220
