Epoch 1, Loss 4.150820, Accuracy 0.371940
Epoch 2, Loss 1.450463, Accuracy 0.485700
Epoch 3, Loss 1.247807, Accuracy 0.558640
Epoch 4, Loss 1.113484, Accuracy 0.611820
Epoch 5, Loss 1.004516, Accuracy 0.650200
Epoch 6, Loss 0.917005, Accuracy 0.683040
Epoch 7, Loss 0.851072, Accuracy 0.703540
Epoch 8, Loss 0.799417, Accuracy 0.722860
Epoch 9, Loss 0.747186, Accuracy 0.739220
Epoch 10, Loss 0.690243, Accuracy 0.760080
Epoch 11, Loss 0.655117, Accuracy 0.772420
Epoch 12, Loss 0.623265, Accuracy 0.781080
Epoch 13, Loss 0.586883, Accuracy 0.794060
Epoch 14, Loss 0.558156, Accuracy 0.804960
Epoch 15, Loss 0.522848, Accuracy 0.815840
Epoch 16, Loss 0.502808, Accuracy 0.822820
Epoch 17, Loss 0.475496, Accuracy 0.833580
Epoch 18, Loss 0.451684, Accuracy 0.841240
Epoch 19, Loss 0.427562, Accuracy 0.850040
Epoch 20, Loss 0.402003, Accuracy 0.856000
Epoch 21, Loss 0.381753, Accuracy 0.865100
Epoch 22, Loss 0.369937, Accuracy 0.868700
Epoch 23, Loss 0.344281, Accuracy 0.878140
Epoch 24, Loss 0.332386, Accuracy 0.880960
Epoch 25, Loss 0.310066, Accuracy 0.888820
Epoch 26, Loss 0.303960, Accuracy 0.892320
Epoch 27, Loss 0.290939, Accuracy 0.896580
Epoch 28, Loss 0.268153, Accuracy 0.904040
Epoch 29, Loss 0.264661, Accuracy 0.904580
Epoch 30, Loss 0.246139, Accuracy 0.911520
