Epoch 1, Loss 1.680450, Accuracy 0.407300
Epoch 2, Loss 1.390153, Accuracy 0.515740
Epoch 3, Loss 1.191773, Accuracy 0.583120
Epoch 4, Loss 1.084459, Accuracy 0.624020
Epoch 5, Loss 1.011741, Accuracy 0.648680
Epoch 6, Loss 0.951802, Accuracy 0.671420
Epoch 7, Loss 0.904438, Accuracy 0.685620
Epoch 8, Loss 0.863126, Accuracy 0.701560
Epoch 9, Loss 0.827339, Accuracy 0.714140
Epoch 10, Loss 0.792107, Accuracy 0.726540
Epoch 11, Loss 0.764512, Accuracy 0.738180
Epoch 12, Loss 0.729718, Accuracy 0.750540
Epoch 13, Loss 0.711633, Accuracy 0.754520
Epoch 14, Loss 0.689752, Accuracy 0.762560
Epoch 15, Loss 0.667365, Accuracy 0.770720
Epoch 16, Loss 0.641804, Accuracy 0.779980
Epoch 17, Loss 0.623412, Accuracy 0.786260
Epoch 18, Loss 0.600411, Accuracy 0.794560
Epoch 19, Loss 0.579267, Accuracy 0.802000
Epoch 20, Loss 0.567144, Accuracy 0.806160
Epoch 21, Loss 0.551244, Accuracy 0.811780
Epoch 22, Loss 0.531456, Accuracy 0.817680
Epoch 23, Loss 0.510930, Accuracy 0.824740
Epoch 24, Loss 0.500187, Accuracy 0.828740
Epoch 25, Loss 0.483458, Accuracy 0.832220
Epoch 26, Loss 0.472345, Accuracy 0.837220
Epoch 27, Loss 0.455237, Accuracy 0.842560
Epoch 28, Loss 0.450929, Accuracy 0.845100
Epoch 29, Loss 0.430942, Accuracy 0.852320
Epoch 30, Loss 0.416395, Accuracy 0.857200
